FolioUrn,Sequence,Label
urn:cite:musicmss:sbe0121.1,1,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 1."
urn:cite:musicmss:sbe0121.2,2,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 2."
urn:cite:musicmss:sbe0121.3,3,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 3."
urn:cite:musicmss:sbe0121.4,4,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 4."
urn:cite:musicmss:sbe0121.5,5,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 5."
urn:cite:musicmss:sbe0121.6,6,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 6."
urn:cite:musicmss:sbe0121.7,7,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 7."
urn:cite:musicmss:sbe0121.8,8,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 8."
urn:cite:musicmss:sbe0121.9,9,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 9."
urn:cite:musicmss:sbe0121.10,10,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 10."
urn:cite:musicmss:sbe0121.11,11,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 11."
urn:cite:musicmss:sbe0121.12,12,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 12."
urn:cite:musicmss:sbe0121.13,13,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 13."
urn:cite:musicmss:sbe0121.14,14,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 14."
urn:cite:musicmss:sbe0121.15,15,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 15."
urn:cite:musicmss:sbe0121.16,16,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 16."
urn:cite:musicmss:sbe0121.17,17,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 17."
urn:cite:musicmss:sbe0121.18,18,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 18."
urn:cite:musicmss:sbe0121.19,19,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 19."
urn:cite:musicmss:sbe0121.20,20,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 20."
urn:cite:musicmss:sbe0121.21,21,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 21."
urn:cite:musicmss:sbe0121.22,22,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 22."
urn:cite:musicmss:sbe0121.23,23,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 23."
urn:cite:musicmss:sbe0121.24,24,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 24."
urn:cite:musicmss:sbe0121.25,25,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 25."
urn:cite:musicmss:sbe0121.26,26,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 26."
urn:cite:musicmss:sbe0121.27,27,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 27."
urn:cite:musicmss:sbe0121.28,28,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 28."
urn:cite:musicmss:sbe0121.29,29,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 29."
urn:cite:musicmss:sbe0121.30,30,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 30."
urn:cite:musicmss:sbe0121.31,31,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 31."
urn:cite:musicmss:sbe0121.32,32,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 32."
urn:cite:musicmss:sbe0121.33,33,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 33."
urn:cite:musicmss:sbe0121.34,34,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 34."
urn:cite:musicmss:sbe0121.35,35,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 35."
urn:cite:musicmss:sbe0121.36,36,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 36."
urn:cite:musicmss:sbe0121.37,37,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 37."
urn:cite:musicmss:sbe0121.38,38,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 38."
urn:cite:musicmss:sbe0121.39,39,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 39."
urn:cite:musicmss:sbe0121.40,40,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 40."
urn:cite:musicmss:sbe0121.41,41,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 41."
urn:cite:musicmss:sbe0121.42,42,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 42."
urn:cite:musicmss:sbe0121.43,43,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 43."
urn:cite:musicmss:sbe0121.44,44,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 44."
urn:cite:musicmss:sbe0121.45,45,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 45."
urn:cite:musicmss:sbe0121.46,46,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 46."
urn:cite:musicmss:sbe0121.47,47,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 47."
urn:cite:musicmss:sbe0121.48,48,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 48."
urn:cite:musicmss:sbe0121.49,49,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 49."
urn:cite:musicmss:sbe0121.50,50,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 50."
urn:cite:musicmss:sbe0121.51,51,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 51."
urn:cite:musicmss:sbe0121.52,52,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 52."
urn:cite:musicmss:sbe0121.53,53,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 53."
urn:cite:musicmss:sbe0121.54,54,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 54."
urn:cite:musicmss:sbe0121.55,55,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 55."
urn:cite:musicmss:sbe0121.56,56,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 56."
urn:cite:musicmss:sbe0121.57,57,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 57."
urn:cite:musicmss:sbe0121.58,58,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 58."
urn:cite:musicmss:sbe0121.59,59,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 59."
urn:cite:musicmss:sbe0121.60,60,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 60."
urn:cite:musicmss:sbe0121.61,61,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 61."
urn:cite:musicmss:sbe0121.62,62,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 62."
urn:cite:musicmss:sbe0121.63,63,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 63."
urn:cite:musicmss:sbe0121.64,64,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 64."
urn:cite:musicmss:sbe0121.65,65,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 65."
urn:cite:musicmss:sbe0121.66,66,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 66."
urn:cite:musicmss:sbe0121.67,67,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 67."
urn:cite:musicmss:sbe0121.68,68,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 68."
urn:cite:musicmss:sbe0121.69,69,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 69."
urn:cite:musicmss:sbe0121.70,70,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 70."
urn:cite:musicmss:sbe0121.71,71,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 71."
urn:cite:musicmss:sbe0121.72,72,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 72."
urn:cite:musicmss:sbe0121.73,73,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 73."
