FolioUrn,Sequence,Label,DefaultImage
urn:cite:musicmss:sg339.1,1,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 1.",urn:cite:musicmss:sg339.1
urn:cite:musicmss:sg339.2,2,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 2.",urn:cite:musicmss:sg339.2
urn:cite:musicmss:sg339.3,3,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 3.",urn:cite:musicmss:sg339.3
urn:cite:musicmss:sg339.4,4,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 4.",urn:cite:musicmss:sg339.4
urn:cite:musicmss:sg339.5,5,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 5.",urn:cite:musicmss:sg339.5
urn:cite:musicmss:sg339.6,6,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 6.",urn:cite:musicmss:sg339.6
urn:cite:musicmss:sg339.7,7,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 7.",urn:cite:musicmss:sg339.7
urn:cite:musicmss:sg339.8,8,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 8.",urn:cite:musicmss:sg339.8
urn:cite:musicmss:sg339.9,9,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 9.",urn:cite:musicmss:sg339.9
urn:cite:musicmss:sg339.10,10,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 10.",urn:cite:musicmss:sg339.10
urn:cite:musicmss:sg339.11,11,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 11.",urn:cite:musicmss:sg339.11
urn:cite:musicmss:sg339.12,12,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 12.",urn:cite:musicmss:sg339.12
urn:cite:musicmss:sg339.13,13,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 13.",urn:cite:musicmss:sg339.13
urn:cite:musicmss:sg339.14,14,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 14.",urn:cite:musicmss:sg339.14
urn:cite:musicmss:sg339.15,15,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 15.",urn:cite:musicmss:sg339.15
urn:cite:musicmss:sg339.16,16,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 16.",urn:cite:musicmss:sg339.16
urn:cite:musicmss:sg339.17,17,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 17.",urn:cite:musicmss:sg339.17
urn:cite:musicmss:sg339.18,18,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 18.",urn:cite:musicmss:sg339.18
urn:cite:musicmss:sg339.19,19,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 19.",urn:cite:musicmss:sg339.19
urn:cite:musicmss:sg339.20,20,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 20.",urn:cite:musicmss:sg339.20
urn:cite:musicmss:sg339.21,21,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 21.",urn:cite:musicmss:sg339.21
urn:cite:musicmss:sg339.22,22,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 22.",urn:cite:musicmss:sg339.22
urn:cite:musicmss:sg339.23,23,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 23.",urn:cite:musicmss:sg339.23
urn:cite:musicmss:sg339.24,24,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 24.",urn:cite:musicmss:sg339.24
urn:cite:musicmss:sg339.25,25,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 25.",urn:cite:musicmss:sg339.25
urn:cite:musicmss:sg339.26,26,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 26.",urn:cite:musicmss:sg339.26
urn:cite:musicmss:sg339.27,27,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 27.",urn:cite:musicmss:sg339.27
urn:cite:musicmss:sg339.28,28,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 28.",urn:cite:musicmss:sg339.28
urn:cite:musicmss:sg339.29,29,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 29.",urn:cite:musicmss:sg339.29
urn:cite:musicmss:sg339.30,30,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 30.",urn:cite:musicmss:sg339.30
urn:cite:musicmss:sg339.31,31,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 31.",urn:cite:musicmss:sg339.31
urn:cite:musicmss:sg339.32,32,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 32.",urn:cite:musicmss:sg339.32
urn:cite:musicmss:sg339.33,33,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 33.",urn:cite:musicmss:sg339.33
urn:cite:musicmss:sg339.34,34,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 34.",urn:cite:musicmss:sg339.34
urn:cite:musicmss:sg339.35,35,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 35.",urn:cite:musicmss:sg339.35
urn:cite:musicmss:sg339.36,36,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 36.",urn:cite:musicmss:sg339.36
urn:cite:musicmss:sg339.37,37,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 37.",urn:cite:musicmss:sg339.37
urn:cite:musicmss:sg339.38,38,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 38.",urn:cite:musicmss:sg339.38
urn:cite:musicmss:sg339.39,39,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 39.",urn:cite:musicmss:sg339.39
urn:cite:musicmss:sg339.40,40,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 40.",urn:cite:musicmss:sg339.40
urn:cite:musicmss:sg339.41,41,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 41.",urn:cite:musicmss:sg339.41
urn:cite:musicmss:sg339.42,42,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 42.",urn:cite:musicmss:sg339.42
urn:cite:musicmss:sg339.43,43,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 43.",urn:cite:musicmss:sg339.43
urn:cite:musicmss:sg339.44,44,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 44.",urn:cite:musicmss:sg339.44
urn:cite:musicmss:sg339.45,45,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 45.",urn:cite:musicmss:sg339.45
urn:cite:musicmss:sg339.46,46,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 46.",urn:cite:musicmss:sg339.46
urn:cite:musicmss:sg339.47,47,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 47.",urn:cite:musicmss:sg339.47
