Image,Text
"urn:cite:ecod:einsiedeln121img.sbe_0121_001@0.0551,0.057,0.6326,0.084",
"urn:cite:ecod:einsiedeln121img.sbe_0121_001@0.0841,0.1283,0.5906,0.0758",
"urn:cite:ecod:einsiedeln121img.sbe_0121_001@0.1161,0.1845,0.5766,0.0683",
"urn:cite:ecod:einsiedeln121img.sbe_0121_001@0.1261,0.2423,0.5646,0.0668",
"urn:cite:ecod:einsiedeln121img.sbe_0121_001@0.1361,0.3091,0.5806,0.0578",
"urn:cite:ecod:einsiedeln121img.sbe_0121_001@0.1141,0.3646,0.5566,0.0623",
"urn:cite:ecod:einsiedeln121img.sbe_0121_001@0.1411,0.4239,0.5916,0.0705",
"urn:cite:ecod:einsiedeln121img.sbe_0121_001@0.1441,0.4966,0.5756,0.0623",
"urn:cite:ecod:einsiedeln121img.sbe_0121_001@0.1411,0.5589,0.5886,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_001@0.1411,0.6197,0.5495,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_001@0.1471,0.6812,0.2192,0.0563",
"urn:cite:ecod:einsiedeln121img.sbe_0121_001@0.1101,0.7209,0.7167,0.0705",
"urn:cite:ecod:einsiedeln121img.sbe_0121_001@0.1371,0.7854,0.5706,0.0608",
"urn:cite:ecod:einsiedeln121img.sbe_0121_002@0.3283,0.0548,0.6276,0.0803",
"urn:cite:ecod:einsiedeln121img.sbe_0121_002@0.3273,0.1298,0.3644,0.0638",
"urn:cite:ecod:einsiedeln121img.sbe_0121_002@0.2943,0.1875,0.6266,0.0713",
"urn:cite:ecod:einsiedeln121img.sbe_0121_002@0.3383,0.2476,0.5616,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_002@0.3373,0.2446,0.5726,0.0728",
"urn:cite:ecod:einsiedeln121img.sbe_0121_002@0.3514,0.3046,0.5355,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_002@0.3353,0.3593,0.6346,0.0833",
"urn:cite:ecod:einsiedeln121img.sbe_0121_002@0.7508,0.3106,0.2092,0.1425", "numes only for previous line"
"urn:cite:ecod:einsiedeln121img.sbe_0121_002@0.2573,0.4321,0.6096,0.0683", 
"urn:cite:ecod:einsiedeln121img.sbe_0121_002@0.4965,0.5656,0.4324,0.0525",
"urn:cite:ecod:einsiedeln121img.sbe_0121_002@0.1822,0.5364,0.3253,0.4201", "giant letter P"
"urn:cite:ecod:einsiedeln121img.sbe_0121_002@0.2673,0.6092,0.6226,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_002@0.3774,0.6737,0.4985,0.0645",
"urn:cite:ecod:einsiedeln121img.sbe_0121_002@0.3534,0.7337,0.5616,0.0623",
"urn:cite:ecod:einsiedeln121img.sbe_0121_002@0.3493,0.7877,0.5806,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_003@0.1051,0.0698,0.5726,0.0608",
"urn:cite:ecod:einsiedeln121img.sbe_0121_003@0.0541,0.1403,0.6086,0.0585",
"urn:cite:ecod:einsiedeln121img.sbe_0121_003@0.029,0.1845,0.7698,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_003@0.1011,0.2431,0.6246,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_003@0.0571,0.2993,0.5886,0.0668",
"urn:cite:ecod:einsiedeln121img.sbe_0121_003@0.0841,0.3608,0.7237,0.0645",
"urn:cite:ecod:einsiedeln121img.sbe_0121_003@0.6597,0.2851,0.1582,0.1268", "numes only for previous line"
"urn:cite:ecod:einsiedeln121img.sbe_0121_003@0.1051,0.4149,0.7267,0.0683",
"urn:cite:ecod:einsiedeln121img.sbe_0121_003@0.044,0.4801,0.5976,0.075",
"urn:cite:ecod:einsiedeln121img.sbe_0121_003@0.0871,0.5476,0.6316,0.0608",
"urn:cite:ecod:einsiedeln121img.sbe_0121_003@0.0871,0.5476,0.6316,0.0608",
"urn:cite:ecod:einsiedeln121img.sbe_0121_003@0.1051,0.6032,0.5846,0.0705",
"urn:cite:ecod:einsiedeln121img.sbe_0121_003@0.1081,0.6714,0.5465,0.0683",
"urn:cite:ecod:einsiedeln121img.sbe_0121_003@0.0731,0.7329,0.5646,0.054",
"urn:cite:ecod:einsiedeln121img.sbe_0121_003@0.6006,0.5484,0.1802,0.2333", "numes only for previous line"
"urn:cite:ecod:einsiedeln121img.sbe_0121_003@0.0521,0.7794,0.6567,0.0645",
"urn:cite:ecod:einsiedeln121img.sbe_0121_003@0.6466,0.6669,0.1371,0.15", "numes only for previous line"
"urn:cite:ecod:einsiedeln121img.sbe_0121_004@0.3493,0.0638,0.5395,0.0705",
"urn:cite:ecod:einsiedeln121img.sbe_0121_004@0.3554,0.1403,0.5506,0.0585",
"urn:cite:ecod:einsiedeln121img.sbe_0121_004@0.3363,0.1988,0.5696,0.0555",
"urn:cite:ecod:einsiedeln121img.sbe_0121_004@0.3433,0.2476,0.3644,0.0593",
