"Images", "Text"
"urn:cite:ecod:einsiedeln121img.sbe_0121_171@0.1001,0.0758,0.2012,0.057",
"urn:cite:ecod:einsiedeln121img.sbe_0121_171@0.049,0.126,0.6757,0.0638",
"urn:cite:ecod:einsiedeln121img.sbe_0121_171@0.1171,0.1808,0.5766,0.072",
"urn:cite:ecod:einsiedeln121img.sbe_0121_171@0.1261,0.2446,0.5385,0.0638",
"urn:cite:ecod:einsiedeln121img.sbe_0121_171@0.1181,0.3061,0.5455,0.0578",
"urn:cite:ecod:einsiedeln121img.sbe_0121_171@0.1231,0.3646,0.4194,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_171@0.049,0.4171,0.6697,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_171@0.1251,0.4816,0.5846,0.0683",
"urn:cite:ecod:einsiedeln121img.sbe_0121_171@0.1141,0.5484,0.5405,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_171@0.1211,0.6092,0.4414,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_171@0.5435,0.5814,0.2312,0.0683", nuemes only for previous line
"urn:cite:ecod:einsiedeln121img.sbe_0121_171@0.1211,0.6692,0.6296,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_171@0.5175,0.6354,0.2953,0.0585", nuemes only for previous line
"urn:cite:ecod:einsiedeln121img.sbe_0121_171@0.0511,0.7269,0.6707,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_171@0.1111,0.7899,0.5295,0.0735",
"urn:cite:ecod:einsiedeln121img.sbe_0121_172@0.4294,0.0743,0.3213,0.0585",
"urn:cite:ecod:einsiedeln121img.sbe_0121_172@0.2613,0.1313,0.6106,0.0698",
"urn:cite:ecod:einsiedeln121img.sbe_0121_172@0.2492,0.0525,0.1862,0.1793", giant letter L
"urn:cite:ecod:einsiedeln121img.sbe_0121_172@0.3393,0.1965,0.5435,0.0593",
"urn:cite:ecod:einsiedeln121img.sbe_0121_172@0.3483,0.2506,0.5566,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_172@0.3383,0.3046,0.5475,0.0683",
"urn:cite:ecod:einsiedeln121img.sbe_0121_172@0.3353,0.3706,0.2352,0.054",
"urn:cite:ecod:einsiedeln121img.sbe_0121_172@0.2543,0.4231,0.6997,0.0713",
"urn:cite:ecod:einsiedeln121img.sbe_0121_172@0.2312,0.4899,0.6847,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_172@0.3173,0.5476,0.6446,0.0668",
"urn:cite:ecod:einsiedeln121img.sbe_0121_172@0.3293,0.5994,0.6396,0.0728",
"urn:cite:ecod:einsiedeln121img.sbe_0121_172@0.3093,0.6782,0.6386,0.057",
"urn:cite:ecod:einsiedeln121img.sbe_0121_172@0.2573,0.7337,0.4975,0.0608",
"urn:cite:ecod:einsiedeln121img.sbe_0121_172@0.7087,0.7254,0.2492,0.039", nuemes for previous line
"urn:cite:ecod:einsiedeln121img.sbe_0121_172@0.3213,0.7914,0.4024,0.0893",
"urn:cite:ecod:einsiedeln121img.sbe_0121_172@0.7267,0.7614,0.2262,0.1088",
"urn:cite:ecod:einsiedeln121img.sbe_0121_173@0.0941,0.0563,0.6697,0.0743",
"urn:cite:ecod:einsiedeln121img.sbe_0121_173@0.1191,0.1305,0.5626,0.0653",
"urn:cite:ecod:einsiedeln121img.sbe_0121_173@0.1131,0.1845,0.6847,0.0623",
"urn:cite:ecod:einsiedeln121img.sbe_0121_173@0.1151,0.2408,0.6126,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_173@0.1191,0.3023,0.7147,0.0638",
"urn:cite:ecod:einsiedeln121img.sbe_0121_173@0.0591,0.3623,0.6807,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_173@0.0561,0.3668,0.6887,0.0585",
"urn:cite:ecod:einsiedeln121img.sbe_0121_173@0.1101,0.4149,0.6927,0.078",
"urn:cite:ecod:einsiedeln121img.sbe_0121_173@0.1101,0.4869,0.6336,0.0623",
"urn:cite:ecod:einsiedeln121img.sbe_0121_173@0.1221,0.5439,0.4725,0.0653",
"urn:cite:ecod:einsiedeln121img.sbe_0121_173@0.0741,0.5994,0.6617,0.0818",
"urn:cite:ecod:einsiedeln121img.sbe_0121_173@0.1021,0.6744,0.5956,0.0638",
"urn:cite:ecod:einsiedeln121img.sbe_0121_173@0.1161,0.7322,0.7147,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_173@0.0541,0.7937,0.7758,0.0728",

