ImageURN,TextURN
"urn:cite:ecod:einsiedeln121img.sbe_0121_181@0.07,0.0585,0.708,0.072", 181
"urn:cite:ecod:einsiedeln121img.sbe_0121_181@0.105,0.1178,0.604,0.0705", possible overlap of neumes from next line
"urn:cite:ecod:einsiedeln121img.sbe_0121_181@0.127,0.1703,0.587,0.0735", overlap with above line 
"urn:cite:ecod:einsiedeln121img.sbe_0121_181@0.137,0.2348,0.677,0.0698",
"urn:cite:ecod:einsiedeln121img.sbe_0121_181@0.131,0.3016,0.707,0.0623",
"urn:cite:ecod:einsiedeln121img.sbe_0121_181@0.11,0.3488,0.634,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_181@0.125,0.4134,0.56,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_181@0.134,0.4764,0.603,0.0833",
"urn:cite:ecod:einsiedeln121img.sbe_0121_181@0.069,0.5461,0.664,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_181@0.126,0.6069,0.574,0.0735",
"urn:cite:ecod:einsiedeln121img.sbe_0121_181@0.129,0.6729,0.222,0.0578",
"urn:cite:ecod:einsiedeln121img.sbe_0121_181@0.061,0.7037,0.604,0.0885", overlap with above line
"urn:cite:ecod:einsiedeln121img.sbe_0121_181@0.123,0.7869,0.492,0.0585",
"urn:cite:ecod:einsiedeln121img.sbe_0121_182@0.359,0.063,0.36,0.0638", 182
"urn:cite:ecod:einsiedeln121img.sbe_0121_182@0.281,0.12,0.605,0.0728",
"urn:cite:ecod:einsiedeln121img.sbe_0121_182@0.351,0.183,0.515,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_182@0.354,0.2438,0.512,0.0645",
"urn:cite:ecod:einsiedeln121img.sbe_0121_182@0.292,0.3098,0.569,0.0518",
"urn:cite:ecod:einsiedeln121img.sbe_0121_182@0.339,0.3511,0.596,0.0705",
"urn:cite:ecod:einsiedeln121img.sbe_0121_182@0.291,0.4179,0.653,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_182@0.338,0.4839,0.528,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_182@0.292,0.5454,0.603,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_182@0.351,0.6107,0.54,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_182@0.355,0.6707,0.428,0.0623",
