Image, Text
"urn:cite:ecod:einsiedeln121img.sbe_0121_271@0.05,0.0713,0.386,0.048",Page 271
"urn:cite:ecod:einsiedeln121img.sbe_0121_271@0.061,0.1185,0.636,0.0713",
"urn:cite:ecod:einsiedeln121img.sbe_0121_271@0.124,0.174,0.576,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_271@0.124,0.2341,0.635,0.0585",
"urn:cite:ecod:einsiedeln121img.sbe_0121_271@0.111,0.2656,0.694,0.096",
"urn:cite:ecod:einsiedeln121img.sbe_0121_271@0.049,0.3181,0.633,0.096",
"urn:cite:ecod:einsiedeln121img.sbe_0121_271@0.124,0.4186,0.565,0.06",
"urn:cite:ecod:einsiedeln121img.sbe_0121_271@0.123,0.4756,0.582,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_271@0.124,0.5394,0.582,0.06",
"urn:cite:ecod:einsiedeln121img.sbe_0121_271@0.29,0.6129,0.414,0.048",
"urn:cite:ecod:einsiedeln121img.sbe_0121_271@0.049,0.5101,0.251,0.2828",Large D
"urn:cite:ecod:einsiedeln121img.sbe_0121_271@0.298,0.6587,0.41,0.0728",
"urn:cite:ecod:einsiedeln121img.sbe_0121_271@0.307,0.7217,0.341,0.0578",
"urn:cite:ecod:einsiedeln121img.sbe_0121_271@0.114,0.7809,0.578,0.0653",
"urn:cite:ecod:einsiedeln121img.sbe_0121_272@0.373,0.0638,0.548,0.0638",Page 272
"urn:cite:ecod:einsiedeln121img.sbe_0121_272@0.368,0.1155,0.526,0.072",
"urn:cite:ecod:einsiedeln121img.sbe_0121_272@0.37,0.1898,0.526,0.0533",
"urn:cite:ecod:einsiedeln121img.sbe_0121_272@0.365,0.2416,0.514,0.0533",
"urn:cite:ecod:einsiedeln121img.sbe_0121_272@0.351,0.2873,0.186,0.0608",
"urn:cite:ecod:einsiedeln121img.sbe_0121_272@0.307,0.3623,0.613,0.0548",
"urn:cite:ecod:einsiedeln121img.sbe_0121_272@0.29,0.4126,0.633,0.0645",
"urn:cite:ecod:einsiedeln121img.sbe_0121_272@0.356,0.4749,0.599,0.0623",
"urn:cite:ecod:einsiedeln121img.sbe_0121_272@0.351,0.5349,0.558,0.0683",
"urn:cite:ecod:einsiedeln121img.sbe_0121_272@0.292,0.5739,0.541,0.0863",
"urn:cite:ecod:einsiedeln121img.sbe_0121_272@0.278,0.6542,0.628,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_272@0.352,0.7202,0.556,0.0578",
"urn:cite:ecod:einsiedeln121img.sbe_0121_272@0.35,0.7772,0.604,0.0653",
"urn:cite:ecod:einsiedeln121img.sbe_0121_273@0.068,0.0428,0.59,0.0795",Page 273 THE NIGHTMARE BEGINS
"urn:cite:ecod:einsiedeln121img.sbe_0121_273@0.117,0.093,0.664,0.0878",
"urn:cite:ecod:einsiedeln121img.sbe_0121_273@0.117,0.1463,0.692,0.0923",
"urn:cite:ecod:einsiedeln121img.sbe_0121_273@0.12,0.2303,0.593,0.0638",
"urn:cite:ecod:einsiedeln121img.sbe_0121_273@0.627,0.1778,0.141,0.0578",Continuation of neumes
"urn:cite:ecod:einsiedeln121img.sbe_0121_273@0.111,0.2798,0.572,0.0743",
"urn:cite:ecod:einsiedeln121img.sbe_0121_273@0.065,0.3473,0.684,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_273@0.666,0.2656,0.106,0.1163",continuation of neumes
"urn:cite:ecod:einsiedeln121img.sbe_0121_273@0.081,0.4036,0.588,0.0758",
"urn:cite:ecod:einsiedeln121img.sbe_0121_273@0.116,0.4719,0.528,0.0668",
"urn:cite:ecod:einsiedeln121img.sbe_0121_273@0.123,0.5206,0.599,0.0848",
"urn:cite:ecod:einsiedeln121img.sbe_0121_273@0.071,0.5716,0.679,0.0915",
"urn:cite:ecod:einsiedeln121img.sbe_0121_273@0.122,0.6324,0.649,0.0915",
"urn:cite:ecod:einsiedeln121img.sbe_0121_273@0.12,0.7194,0.526,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_273@0.115,0.7779,0.564,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_274@0.292,0.054,0.569,0.066",Page 274
"urn:cite:ecod:einsiedeln121img.sbe_0121_274@0.36,0.1125,0.447,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_274@0.584,0.1943,0.33,0.051",
"urn:cite:ecod:einsiedeln121img.sbe_0121_274@0.222,0.171,0.377,0.2423",Large N
"urn:cite:ecod:einsiedeln121img.sbe_0121_274@0.571,0.2438,0.297,0.105",
"urn:cite:ecod:einsiedeln121img.sbe_0121_274@0.55,0.3368,0.351,0.0758",
"urn:cite:ecod:einsiedeln121img.sbe_0121_274@0.345,0.4104,0.521,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_274@0.342,0.4794,0.539,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_274@0.332,0.5326,0.506,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_274@0.334,0.5881,0.401,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_274@0.274,0.6677,0.602,0.0548",
"urn:cite:ecod:einsiedeln121img.sbe_0121_274@0.262,0.7142,0.62,0.0735",
"urn:cite:ecod:einsiedeln121img.sbe_0121_274@0.34,0.7607,0.507,0.0795",
"urn:cite:ecod:einsiedeln121img.sbe_0121_275@0.128,0.051,0.657,0.0645",Page 275
"urn:cite:ecod:einsiedeln121img.sbe_0121_275@0.072,0.1088,0.611,0.0698",
"urn:cite:ecod:einsiedeln121img.sbe_0121_275@0.13,0.171,0.57,0.0645",
"urn:cite:ecod:einsiedeln121img.sbe_0121_275@0.13,0.2326,0.583,0.0608",
"urn:cite:ecod:einsiedeln121img.sbe_0121_275@0.081,0.2821,0.621,0.0848",
"urn:cite:ecod:einsiedeln121img.sbe_0121_275@0.096,0.3226,0.648,0.0923",
"urn:cite:ecod:einsiedeln121img.sbe_0121_275@0.136,0.4096,0.612,0.0653",
"urn:cite:ecod:einsiedeln121img.sbe_0121_275@0.069,0.4839,0.607,0.0593",
"urn:cite:ecod:einsiedeln121img.sbe_0121_275@0.141,0.5334,0.649,0.0698",
"urn:cite:ecod:einsiedeln121img.sbe_0121_275@0.139,0.5979,0.574,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_275@0.144,0.6669,0.384,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_275@0.066,0.7194,0.591,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_275@0.144,0.7779,0.569,0.0683",
"urn:cite:ecod:einsiedeln121img.sbe_0121_276@0.362,0.0413,0.527,0.0795",Page 276
"urn:cite:ecod:einsiedeln121img.sbe_0121_276@0.365,0.1058,0.527,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_276@0.28,0.165,0.603,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_276@0.353,0.2236,0.507,0.0705",
"urn:cite:ecod:einsiedeln121img.sbe_0121_276@0.319,0.2813,0.507,0.0705",
