imageURN,textURN
"urn:cite:ecod:einsiedeln121img.sbe_0121_281@0.088,0.051,0.538,0.0668",Page 281
"urn:cite:ecod:einsiedeln121img.sbe_0121_281@0.101,0.1185,0.538,0.054",
"urn:cite:ecod:einsiedeln121img.sbe_0121_281@0.046,0.1763,0.107,0.1043",Large S
"urn:cite:ecod:einsiedeln121img.sbe_0121_281@0.167,0.1703,0.367,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_281@0.139,0.2468,0.478,0.0495",
"urn:cite:ecod:einsiedeln121img.sbe_0121_281@0.041,0.2993,0.601,0.0495",
"urn:cite:ecod:einsiedeln121img.sbe_0121_281@0.168,0.3601,0.449,0.0533",
"urn:cite:ecod:einsiedeln121img.sbe_0121_281@0.054,0.3593,0.19,0.1343",Large L
"urn:cite:ecod:einsiedeln121img.sbe_0121_281@0.184,0.4156,0.352,0.057",
"urn:cite:ecod:einsiedeln121img.sbe_0121_281@0.046,0.4959,0.568,0.0458",
"urn:cite:ecod:einsiedeln121img.sbe_0121_281@0.048,0.5536,0.556,0.045",
"urn:cite:ecod:einsiedeln121img.sbe_0121_281@0.183,0.6114,0.532,0.0533",
"urn:cite:ecod:einsiedeln121img.sbe_0121_281@0.068,0.6077,0.112,0.129",Large S
"urn:cite:ecod:einsiedeln121img.sbe_0121_281@0.2,0.6617,0.331,0.0578",
"urn:cite:ecod:einsiedeln121img.sbe_0121_281@0.033,0.7382,0.577,0.0435",
"urn:cite:ecod:einsiedeln121img.sbe_0121_281@0.053,0.7967,0.373,0.045",
"urn:cite:ecod:einsiedeln121img.sbe_0121_282@0.323,0.0525,0.609,0.066",Page 282
"urn:cite:ecod:einsiedeln121img.sbe_0121_282@0.397,0.1103,0.514,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_282@0.398,0.1755,0.52,0.0608",
"urn:cite:ecod:einsiedeln121img.sbe_0121_282@0.394,0.2333,0.531,0.0593",
"urn:cite:ecod:einsiedeln121img.sbe_0121_282@0.394,0.2926,0.531,0.0593",
"urn:cite:ecod:einsiedeln121img.sbe_0121_282@0.47,0.3623,0.486,0.0525",
"urn:cite:ecod:einsiedeln121img.sbe_0121_282@0.296,0.3263,0.178,0.1898",Large S
"urn:cite:ecod:einsiedeln121img.sbe_0121_282@0.489,0.4186,0.464,0.0525",
"urn:cite:ecod:einsiedeln121img.sbe_0121_282@0.464,0.4869,0.426,0.0525",
"urn:cite:ecod:einsiedeln121img.sbe_0121_282@0.379,0.5386,0.554,0.0555",
"urn:cite:ecod:einsiedeln121img.sbe_0121_282@0.376,0.6002,0.266,0.054",
"urn:cite:ecod:einsiedeln121img.sbe_0121_282@0.296,0.6564,0.637,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_282@0.283,0.7187,0.611,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_282@0.363,0.7749,0.518,0.0683",
"urn:cite:ecod:einsiedeln121img.sbe_0121_283@0.126,0.054,0.62,0.0705",Page 283
"urn:cite:ecod:einsiedeln121img.sbe_0121_283@0.061,0.1208,0.593,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_283@0.13,0.1665,0.675,0.0795",
"urn:cite:ecod:einsiedeln121img.sbe_0121_283@0.131,0.2348,0.598,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_283@0.058,0.3106,0.598,0.054",
"urn:cite:ecod:einsiedeln121img.sbe_0121_283@0.14,0.3781,0.612,0.048",
"urn:cite:ecod:einsiedeln121img.sbe_0121_283@0.069,0.3743,0.071,0.1688",Large I
"urn:cite:ecod:einsiedeln121img.sbe_0121_283@0.162,0.4321,0.448,0.045",
"urn:cite:ecod:einsiedeln121img.sbe_0121_283@0.134,0.5026,0.525,0.0525",
"urn:cite:ecod:einsiedeln121img.sbe_0121_283@0.118,0.5529,0.586,0.0525",
"urn:cite:ecod:einsiedeln121img.sbe_0121_283@0.143,0.6227,0.619,0.0525",
"urn:cite:ecod:einsiedeln121img.sbe_0121_283@0.061,0.6249,0.097,0.1673",Large I
"urn:cite:ecod:einsiedeln121img.sbe_0121_283@0.18,0.6654,0.505,0.0645",
"urn:cite:ecod:einsiedeln121img.sbe_0121_283@0.182,0.7239,0.516,0.0563",
"urn:cite:ecod:einsiedeln121img.sbe_0121_283@0.188,0.7869,0.513,0.0563",
"urn:cite:ecod:einsiedeln121img.sbe_0121_284@0.361,0.0683,0.524,0.0585",Page 284
"urn:cite:ecod:einsiedeln121img.sbe_0121_284@0.356,0.1268,0.259,0.06",
"urn:cite:ecod:einsiedeln121img.sbe_0121_284@0.282,0.1965,0.608,0.0533",
"urn:cite:ecod:einsiedeln121img.sbe_0121_284@0.266,0.2386,0.652,0.0713",
"urn:cite:ecod:einsiedeln121img.sbe_0121_284@0.348,0.2948,0.565,0.0668",
"urn:cite:ecod:einsiedeln121img.sbe_0121_284@0.268,0.3413,0.637,0.0818",
"urn:cite:ecod:einsiedeln121img.sbe_0121_284@0.333,0.4239,0.562,0.0593",
"urn:cite:ecod:einsiedeln121img.sbe_0121_284@0.276,0.4944,0.553,0.0608",
"urn:cite:ecod:einsiedeln121img.sbe_0121_284@0.428,0.5604,0.372,0.054",
"urn:cite:ecod:einsiedeln121img.sbe_0121_284@0.26,0.5499,0.168,0.132",Large S
"urn:cite:ecod:einsiedeln121img.sbe_0121_284@0.402,0.6272,0.367,0.0435",
"urn:cite:ecod:einsiedeln121img.sbe_0121_284@0.267,0.6864,0.555,0.045",
"urn:cite:ecod:einsiedeln121img.sbe_0121_284@0.259,0.7344,0.558,0.054",
"urn:cite:ecod:einsiedeln121img.sbe_0121_284@0.3,0.7937,0.63,0.0525",
"urn:cite:ecod:einsiedeln121img.sbe_0121_285@0.089,0.063,0.075,0.0803",Page 285 Large S
"urn:cite:ecod:einsiedeln121img.sbe_0121_285@0.183,0.0698,0.349,0.048",
"urn:cite:ecod:einsiedeln121img.sbe_0121_285@0.1,0.1358,0.433,0.057",
"urn:cite:ecod:einsiedeln121img.sbe_0121_285@0.079,0.192,0.507,0.051",
"urn:cite:ecod:einsiedeln121img.sbe_0121_285@0.366,0.2573,0.306,0.0375",
"urn:cite:ecod:einsiedeln121img.sbe_0121_285@0.05,0.2296,0.322,0.2078",Large T
