"ImageURN", textURN
"urn:cite:ecod:einsiedeln121img.sbe_0121_311@0.052,0.048,0.66,0.0975", Page 311
"urn:cite:ecod:einsiedeln121img.sbe_0121_311@0.049,0.045,0.246,0.2431", Large letter B
"urn:cite:ecod:einsiedeln121img.sbe_0121_311@0.296,0.1268,0.379,0.0705",
"urn:cite:ecod:einsiedeln121img.sbe_0121_311@0.283,0.1883,0.397,0.0645",
"urn:cite:ecod:einsiedeln121img.sbe_0121_311@0.219,0.2431,0.46,0.0653",
"urn:cite:ecod:einsiedeln121img.sbe_0121_311@0.132,0.3061,0.535,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_311@0.124,0.3623,0.595,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_311@0.045,0.4306,0.703,0.0713",
"urn:cite:ecod:einsiedeln121img.sbe_0121_311@0.056,0.4869,0.633,0.0803",
"urn:cite:ecod:einsiedeln121img.sbe_0121_311@0.116,0.5499,0.547,0.0683",
"urn:cite:ecod:einsiedeln121img.sbe_0121_311@0.116,0.6137,0.347,0.0668",
"urn:cite:ecod:einsiedeln121img.sbe_0121_311@0.062,0.6737,0.636,0.0713",
"urn:cite:ecod:einsiedeln121img.sbe_0121_311@0.119,0.7337,0.542,0.0683",
"urn:cite:ecod:einsiedeln121img.sbe_0121_311@0.123,0.7937,0.412,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_312@0.324,0.0653,0.609,0.078", Page 312
