ImageURN,textURN
"urn:cite:ecod:einsiedeln121img.sbe_0121_341@0.077,0.0788,0.23,0.168",Large D
"urn:cite:ecod:einsiedeln121img.sbe_0121_341@0.077,0.0788,0.463,0.042",
"urn:cite:ecod:einsiedeln121img.sbe_0121_341@0.078,0.114,0.59,0.0728",
"urn:cite:ecod:einsiedeln121img.sbe_0121_341@0.094,0.1793,0.586,0.0608",
"urn:cite:ecod:einsiedeln121img.sbe_0121_341@0.105,0.2296,0.574,0.0668",
"urn:cite:ecod:einsiedeln121img.sbe_0121_341@0.111,0.2851,0.584,0.0728",
"urn:cite:ecod:einsiedeln121img.sbe_0121_341@0.127,0.3511,0.557,0.0615", 
"urn:cite:ecod:einsiedeln121img.sbe_0121_341@0.13,0.4149,0.557,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_341@0.071,0.4741,0.659,0.0735",
"urn:cite:ecod:einsiedeln121img.sbe_0121_341@0.131,0.5424,0.577,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_341@0.142,0.5994,0.39,0.0638",
"urn:cite:ecod:einsiedeln121img.sbe_0121_341@0.072,0.6399,0.632,0.0863",
"urn:cite:ecod:einsiedeln121img.sbe_0121_341@0.103,0.7179,0.58,0.06",
"urn:cite:ecod:einsiedeln121img.sbe_0121_341@0.143,0.7817,0.521,0.06", 
"urn:cite:ecod:einsiedeln121img.sbe_0121_341@0.459,0.823,0.299,0.072", 
"urn:cite:ecod:einsiedeln121img.sbe_0121_342@0.341,0.0473,0.559,0.0645",Page 342
"urn:cite:ecod:einsiedeln121img.sbe_0121_342@0.379,0.1133,0.559,0.0645",
"urn:cite:ecod:einsiedeln121img.sbe_0121_342@0.373,0.1658,0.584,0.057",
"urn:cite:ecod:einsiedeln121img.sbe_0121_342@0.28,0.2213,0.641,0.0668",
"urn:cite:ecod:einsiedeln121img.sbe_0121_342@0.347,0.2791,0.482,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_342@0.347,0.3323,0.549,0.0728",
"urn:cite:ecod:einsiedeln121img.sbe_0121_342@0.29,0.3991,0.644,0.0728",
"urn:cite:ecod:einsiedeln121img.sbe_0121_342@0.347,0.4629,0.622,0.0683",
"urn:cite:ecod:einsiedeln121img.sbe_0121_342@0.339,0.5221,0.481,0.0855",
"urn:cite:ecod:einsiedeln121img.sbe_0121_342@0.264,0.6017,0.651,0.0638",
"urn:cite:ecod:einsiedeln121img.sbe_0121_342@0.338,0.6557,0.604,0.0638", 
"urn:cite:ecod:einsiedeln121img.sbe_0121_342@0.302,0.7059,0.328,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_343@0.075,0.0593,0.179,0.1328",Page 343 Large A
"urn:cite:ecod:einsiedeln121img.sbe_0121_343@0.075,0.0533,0.531,0.0735",
"urn:cite:ecod:einsiedeln121img.sbe_0121_343@0.081,0.1215,0.503,0.0698",
"urn:cite:ecod:einsiedeln121img.sbe_0121_343@0.082,0.1898,0.131,0.0698",Large U
"urn:cite:ecod:einsiedeln121img.sbe_0121_343@0.082,0.177,0.583,0.066", 
"urn:cite:ecod:einsiedeln121img.sbe_0121_343@0.127,0.2326,0.577,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_343@0.133,0.2918,0.583,0.066",
