ImageURN, PageURN
"urn:cite:ecod:einsiedeln121img.sbe_0121_391@0.056,0.0728,0.563,0.0638",Page 391
"urn:cite:ecod:einsiedeln121img.sbe_0121_391@0.06,0.1365,0.631,0.0638",
"urn:cite:ecod:einsiedeln121img.sbe_0121_391@0.057,0.1943,0.631,0.0713",
"urn:cite:ecod:einsiedeln121img.sbe_0121_391@0.061,0.2588,0.57,0.0713",
"urn:cite:ecod:einsiedeln121img.sbe_0121_391@0.166,0.3106,0.405,0.0713",
"urn:cite:ecod:einsiedeln121img.sbe_0121_391@0.043,0.3316,0.125,0.1448",Large S
"urn:cite:ecod:einsiedeln121img.sbe_0121_391@0.043,0.3683,0.604,0.0578",
"urn:cite:ecod:einsiedeln121img.sbe_0121_391@0.121,0.4261,0.553,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_391@0.12,0.4974,0.516,0.057",
"urn:cite:ecod:einsiedeln121img.sbe_0121_391@0.123,0.5476,0.258,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_391@0.082,0.6159,0.58,0.0773",
"urn:cite:ecod:einsiedeln121img.sbe_0121_391@0.124,0.6819,0.58,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_391@0.135,0.7404,0.543,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_391@0.136,0.8005,0.572,0.0668",
"urn:cite:ecod:einsiedeln121img.sbe_0121_392@0.334,0.075,0.601,0.066",Page 392
"urn:cite:ecod:einsiedeln121img.sbe_0121_392@0.377,0.1388,0.536,0.06",
"urn:cite:ecod:einsiedeln121img.sbe_0121_392@0.369,0.198,0.556,0.06",
"urn:cite:ecod:einsiedeln121img.sbe_0121_392@0.371,0.2588,0.498,0.06",
"urn:cite:ecod:einsiedeln121img.sbe_0121_392@0.317,0.3181,0.579,0.0653",
"urn:cite:ecod:einsiedeln121img.sbe_0121_392@0.363,0.3721,0.513,0.0653",
"urn:cite:ecod:einsiedeln121img.sbe_0121_392@0.365,0.4329,0.523,0.0653",
"urn:cite:ecod:einsiedeln121img.sbe_0121_392@0.354,0.5026,0.533,0.0578",
"urn:cite:ecod:einsiedeln121img.sbe_0121_392@0.355,0.5641,0.533,0.0645",
"urn:cite:ecod:einsiedeln121img.sbe_0121_392@0.348,0.6182,0.558,0.0758",
"urn:cite:ecod:einsiedeln121img.sbe_0121_392@0.341,0.6924,0.536,0.0623",
"urn:cite:ecod:einsiedeln121img.sbe_0121_392@0.338,0.7524,0.501,0.057",
"urn:cite:ecod:einsiedeln121img.sbe_0121_392@0.331,0.811,0.466,0.057",
"urn:cite:ecod:einsiedeln121img.sbe_0121_393@0.075,0.0668,0.593,0.0705",Page 393
"urn:cite:ecod:einsiedeln121img.sbe_0121_393@0.124,0.1373,0.534,0.0705",
"urn:cite:ecod:einsiedeln121img.sbe_0121_393@0.135,0.1913,0.592,0.0758",
"urn:cite:ecod:einsiedeln121img.sbe_0121_393@0.067,0.2558,0.571,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_393@0.139,0.3181,0.539,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_393@0.134,0.3751,0.539,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_393@0.143,0.4269,0.318,0.0773",
"urn:cite:ecod:einsiedeln121img.sbe_0121_393@0.08,0.4816,0.595,0.0923",
"urn:cite:ecod:einsiedeln121img.sbe_0121_393@0.149,0.5491,0.551,0.0728",
"urn:cite:ecod:einsiedeln121img.sbe_0121_393@0.139,0.6272,0.551,0.0728",
"urn:cite:ecod:einsiedeln121img.sbe_0121_393@0.14,0.6902,0.535,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_393@0.148,0.7479,0.535,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_393@0.142,0.8065,0.566,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_394@0.383,0.0638,0.532,0.075",Page 394
"urn:cite:ecod:einsiedeln121img.sbe_0121_394@0.373,0.1335,0.559,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_394@0.364,0.192,0.546,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_394@0.368,0.2573,0.544,0.0668",
