IMAGE URN, notes
"urn:cite:ecod:einsiedeln121img.sbe_0121_411@0.107,0.0683,0.585,0.0645", page 411
"urn:cite:ecod:einsiedeln121img.sbe_0121_411@0.116,0.1275,0.585,0.0645",
"urn:cite:ecod:einsiedeln121img.sbe_0121_411@0.127,0.1868,0.535,0.0578",
"urn:cite:ecod:einsiedeln121img.sbe_0121_411@0.132,0.2386,0.556,0.0578",
"urn:cite:ecod:einsiedeln121img.sbe_0121_411@0.138,0.3031,0.569,0.0578",
"urn:cite:ecod:einsiedeln121img.sbe_0121_411@0.134,0.3548,0.578,0.0683",
"urn:cite:ecod:einsiedeln121img.sbe_0121_411@0.133,0.4209,0.578,0.057",
"urn:cite:ecod:einsiedeln121img.sbe_0121_411@0.128,0.4659,0.592,0.0683",
"urn:cite:ecod:einsiedeln121img.sbe_0121_411@0.719,0.4359,0.084,0.0435", neumes from previous line
"urn:cite:ecod:einsiedeln121img.sbe_0121_411@0.108,0.5484,0.553,0.054",
"urn:cite:ecod:einsiedeln121img.sbe_0121_411@0.064,0.6077,0.627,0.0518",
"urn:cite:ecod:einsiedeln121img.sbe_0121_411@0.064,0.6077,0.627,0.0518", big letter S
"urn:cite:ecod:einsiedeln121img.sbe_0121_411@0.13,0.6684,0.559,0.06",
"urn:cite:ecod:einsiedeln121img.sbe_0121_411@0.124,0.7247,0.559,0.06",
"urn:cite:ecod:einsiedeln121img.sbe_0121_411@0.131,0.7839,0.559,0.06",
"urn:cite:ecod:einsiedeln121img.sbe_0121_412@0.346,0.0638,0.578,0.0615", page 412
"urn:cite:ecod:einsiedeln121img.sbe_0121_412@0.345,0.12,0.632,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_412@0.263,0.1875,0.632,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_412@0.295,0.2416,0.632,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_412@0.295,0.2978,0.632,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_412@0.295,0.3616,0.58,0.057",
"urn:cite:ecod:einsiedeln121img.sbe_0121_412@0.266,0.4141,0.663,0.057",
"urn:cite:ecod:einsiedeln121img.sbe_0121_412@0.264,0.4126,0.1,0.0713", big letter O
"urn:cite:ecod:einsiedeln121img.sbe_0121_412@0.344,0.4771,0.549,0.0638",
"urn:cite:ecod:einsiedeln121img.sbe_0121_412@0.351,0.5371,0.555,0.0638",
"urn:cite:ecod:einsiedeln121img.sbe_0121_412@0.34,0.5986,0.555,0.0638",
"urn:cite:ecod:einsiedeln121img.sbe_0121_412@0.335,0.6624,0.555,0.0638",
