Images, Text
"urn:cite:ecod:einsiedeln121img.sbe_0121_061@0.1021,0.0765,0.2733,0.0563",
"urn:cite:ecod:einsiedeln121img.sbe_0121_061@0.04,0.135,0.6446,0.0638",
"urn:cite:ecod:einsiedeln121img.sbe_0121_061@0.1121,0.1905,0.5445,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_061@0.0961,0.2551,0.5916,0.0623",
"urn:cite:ecod:einsiedeln121img.sbe_0121_061@0.039,0.3091,0.6206,0.0713",
"urn:cite:ecod:einsiedeln121img.sbe_0121_061@0.0851,0.3691,0.6316,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_061@0.0951,0.4276,0.7287,0.0698",
"urn:cite:ecod:einsiedeln121img.sbe_0121_061@0.036,0.4959,0.6907,0.0705",
"urn:cite:ecod:einsiedeln121img.sbe_0121_061@0.0931,0.5671,0.5556,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_061@0.0861,0.5626,0.5686,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_061@0.0911,0.6227,0.5676,0.075",
"urn:cite:ecod:einsiedeln121img.sbe_0121_061@0.0941,0.6879,0.5546,0.057",
"urn:cite:ecod:einsiedeln121img.sbe_0121_061@0.1001,0.7397,0.5495,0.0735",
"urn:cite:ecod:einsiedeln121img.sbe_0121_061@0.1001,0.8057,0.3884,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_062@0.4525,0.0825,0.4414,0.0533",
"urn:cite:ecod:einsiedeln121img.sbe_0121_062@0.2002,0.0315,0.2593,0.2363", "giant letter L"
"urn:cite:ecod:einsiedeln121img.sbe_0121_062@0.2603,0.1298,0.6356,0.0728",
"urn:cite:ecod:einsiedeln121img.sbe_0121_062@0.4695,0.1943,0.4264,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_062@0.3293,0.2558,0.5846,0.06",
"urn:cite:ecod:einsiedeln121img.sbe_0121_062@0.3373,0.3098,0.5996,0.0623",
"urn:cite:ecod:einsiedeln121img.sbe_0121_062@0.1672,0.3773,0.1351,0.1245", "weird numes in left margin"
"urn:cite:ecod:einsiedeln121img.sbe_0121_062@0.3273,0.3698,0.6366,0.0653",
"urn:cite:ecod:einsiedeln121img.sbe_0121_062@0.2693,0.4299,0.6897,0.072",
"urn:cite:ecod:einsiedeln121img.sbe_0121_062@0.3544,0.4974,0.6126,0.0593",
"urn:cite:ecod:einsiedeln121img.sbe_0121_062@0.3504,0.5529,0.6186,0.0728",
"urn:cite:ecod:einsiedeln121img.sbe_0121_062@0.2643,0.6182,0.6917,0.072",
"urn:cite:ecod:einsiedeln121img.sbe_0121_062@0.3463,0.6834,0.5786,0.0593",
"urn:cite:ecod:einsiedeln121img.sbe_0121_062@0.3594,0.7389,0.5786,0.0585",
"urn:cite:ecod:einsiedeln121img.sbe_0121_062@0.3634,0.7907,0.3403,0.0645",
