Image, Text
"urn:cite:ecod:einsiedeln121img.sbe_0121_021@0.1301,0.0608,0.6236,0.0735",
"urn:cite:ecod:einsiedeln121img.sbe_0121_021@0.0741,0.129,0.6196,0.0638",
"urn:cite:ecod:einsiedeln121img.sbe_0121_021@0.1221,0.1883,0.5345,0.054",
"urn:cite:ecod:einsiedeln121img.sbe_0121_021@0.1231,0.2378,0.5726,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_021@0.1241,0.2956,0.6016,0.0668",
"urn:cite:ecod:einsiedeln121img.sbe_0121_021@0.1331,0.3533,0.5886,0.0653",
"urn:cite:ecod:einsiedeln121img.sbe_0121_021@0.1231,0.4134,0.5626,0.0698",
"urn:cite:ecod:einsiedeln121img.sbe_0121_021@0.0671,0.4876,0.6176,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_021@0.1351,0.5461,0.5656,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_021@0.1341,0.6054,0.6066,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_021@0.041,0.6729,0.6597,0.0803",
"urn:cite:ecod:einsiedeln121img.sbe_0121_021@0.1331,0.7284,0.5896,0.0668",
"urn:cite:ecod:einsiedeln121img.sbe_0121_021@0.1331,0.7824,0.5816,0.0705",
"urn:cite:ecod:einsiedeln121img.sbe_0121_022@0.3514,0.078,0.5295,0.0608",
"urn:cite:ecod:einsiedeln121img.sbe_0121_022@0.3504,0.132,0.5295,0.0608",
"urn:cite:ecod:einsiedeln121img.sbe_0121_022@0.3263,0.1868,0.5345,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_022@0.1562,0.2498,0.7588,0.0705",
"urn:cite:ecod:einsiedeln121img.sbe_0121_022@0.1592,0.3023,0.8138,0.0705",
"urn:cite:ecod:einsiedeln121img.sbe_0121_022@0.3143,0.3668,0.5566,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_022@0.3443,0.4246,0.6376,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_022@0.3433,0.4636,0.6426,0.0795",
"urn:cite:ecod:einsiedeln121img.sbe_0121_022@0.2112,0.5416,0.6597,0.0795",
"urn:cite:ecod:einsiedeln121img.sbe_0121_022@0.4975,0.6159,0.4214,0.0563",
"urn:cite:ecod:einsiedeln121img.sbe_0121_022@0.2262,0.3908,0.2923,0.4044", giant letter h
"urn:cite:ecod:einsiedeln121img.sbe_0121_022@0.2703,0.6669,0.6527,0.0728",
"urn:cite:ecod:einsiedeln121img.sbe_0121_022@0.4915,0.7269,0.4424,0.0728",
"urn:cite:ecod:einsiedeln121img.sbe_0121_022@0.3193,0.7869,0.5816,0.0728",
"urn:cite:ecod:einsiedeln121img.sbe_0121_023@0.1241,0.0788,0.4675,0.06",
"urn:cite:ecod:einsiedeln121img.sbe_0121_023@0.046,0.1358,0.7788,0.06",
"urn:cite:ecod:einsiedeln121img.sbe_0121_023@0.046,0.1875,0.6466,0.072",
"urn:cite:ecod:einsiedeln121img.sbe_0121_023@0.1281,0.2438,0.5726,0.0668",
"urn:cite:ecod:einsiedeln121img.sbe_0121_023@0.1311,0.3023,0.6166,0.0668",
"urn:cite:ecod:einsiedeln121img.sbe_0121_023@0.0521,0.3556,0.7117,0.0698",
"urn:cite:ecod:einsiedeln121img.sbe_0121_023@0.1001,0.4261,0.7117,0.0698",
"urn:cite:ecod:einsiedeln121img.sbe_0121_023@0.1091,0.4891,0.6106,0.0698",
"urn:cite:ecod:einsiedeln121img.sbe_0121_023@0.1121,0.5476,0.6607,0.075",
"urn:cite:ecod:einsiedeln121img.sbe_0121_023@0.1081,0.6197,0.5696,0.0608",
"urn:cite:ecod:einsiedeln121img.sbe_0121_023@0.0521,0.7517,0.4224,0.0608",
"urn:cite:ecod:einsiedeln121img.sbe_0121_023@0.0661,0.7967,0.6366,0.0705",
"urn:cite:ecod:einsiedeln121img.sbe_0121_024@0.3113,0.0615,0.5716,0.078",
"urn:cite:ecod:einsiedeln121img.sbe_0121_024@0.3313,0.129,0.5906,0.0585",
"urn:cite:ecod:einsiedeln121img.sbe_0121_024@0.2543,0.18,0.6767,0.0758",
"urn:cite:ecod:einsiedeln121img.sbe_0121_024@0.2472,0.2438,0.6767,0.0758",
"urn:cite:ecod:einsiedeln121img.sbe_0121_024@0.3103,0.3061,0.6066,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_024@0.2863,0.3661,0.6066,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_024@0.3083,0.4276,0.6486,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_024@0.8509,0.2093,0.1281,0.2813",
"urn:cite:ecod:einsiedeln121img.sbe_0121_024@0.3103,0.4801,0.5896,0.0735",
"urn:cite:ecod:einsiedeln121img.sbe_0121_024@0.3233,0.5454,0.5896,0.0735",
"urn:cite:ecod:einsiedeln121img.sbe_0121_024@0.4384,0.6137,0.5165,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_024@0.1471,0.3143,0.3504,0.4801", giant letter d
"urn:cite:ecod:einsiedeln121img.sbe_0121_024@0.1762,0.6707,0.7387,0.0713",
"urn:cite:ecod:einsiedeln121img.sbe_0121_024@0.4685,0.7389,0.4004,0.0645",
"urn:cite:ecod:einsiedeln121img.sbe_0121_024@0.2843,0.7997,0.5195,0.0645",
"urn:cite:ecod:einsiedeln121img.sbe_0121_025@0.04,0.066,0.5836,0.075",
