ImageURN,TextURN
"urn:cite:ecod:einsiedeln121img.sbe_0121_151@0.1051,0.063,0.4695,0.0788",Page 151
"urn:cite:ecod:einsiedeln121img.sbe_0121_151@0.043,0.1215,0.6086,0.0705",
"urn:cite:ecod:einsiedeln121img.sbe_0121_151@0.1131,0.1838,0.7217,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_151@0.042,0.2678,0.6026,0.051",
"urn:cite:ecod:einsiedeln121img.sbe_0121_151@0.038,0.3076,0.6366,0.0735",
"urn:cite:ecod:einsiedeln121img.sbe_0121_151@0.1231,0.3526,0.5976,0.0743",
"urn:cite:ecod:einsiedeln121img.sbe_0121_151@0.2192,0.4351,0.2813,0.0608",
"urn:cite:ecod:einsiedeln121img.sbe_0121_151@0.033,0.4254,0.1952,0.1755",Large E
"urn:cite:ecod:einsiedeln121img.sbe_0121_151@0.2342,0.4846,0.4064,0.075",
"urn:cite:ecod:einsiedeln121img.sbe_0121_151@0.2242,0.5454,0.4084,0.0645",
"urn:cite:ecod:einsiedeln121img.sbe_0121_151@0.1271,0.6182,0.5185,0.0555",
"urn:cite:ecod:einsiedeln121img.sbe_0121_151@0.1341,0.6722,0.4755,0.057",
"urn:cite:ecod:einsiedeln121img.sbe_0121_151@0.0621,0.7329,0.7387,0.0585",
"urn:cite:ecod:einsiedeln121img.sbe_0121_151@0.047,0.7847,0.6466,0.0645",
"urn:cite:ecod:einsiedeln121img.sbe_0121_152@0.3443,0.0683,0.6016,0.0698",Page 152
"urn:cite:ecod:einsiedeln121img.sbe_0121_152@0.3453,0.132,0.5776,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_152@0.2843,0.192,0.6226,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_152@0.3524,0.2476,0.4945,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_152@0.3483,0.3068,0.5425,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_152@0.3453,0.3511,0.6196,0.0795",
"urn:cite:ecod:einsiedeln121img.sbe_0121_152@0.2623,0.4261,0.6016,0.0623",
"urn:cite:ecod:einsiedeln121img.sbe_0121_152@0.3473,0.4891,0.5235,0.0623",
"urn:cite:ecod:einsiedeln121img.sbe_0121_152@0.3514,0.5521,0.5576,0.0563",
"urn:cite:ecod:einsiedeln121img.sbe_0121_152@0.3504,0.6167,0.5265,0.0563",
"urn:cite:ecod:einsiedeln121img.sbe_0121_152@0.3433,0.6677,0.2142,0.0668",
"urn:cite:ecod:einsiedeln121img.sbe_0121_152@0.2723,0.7247,0.6326,0.0668",
"urn:cite:ecod:einsiedeln121img.sbe_0121_152@0.3453,0.7847,0.5706,0.0668",
"urn:cite:ecod:einsiedeln121img.sbe_0121_153@0.045,0.072,0.6527,0.0615",Page 153
"urn:cite:ecod:einsiedeln121img.sbe_0121_153@0.1171,0.1245,0.5506,0.0698",
"urn:cite:ecod:einsiedeln121img.sbe_0121_153@0.1161,0.177,0.5506,0.0758",
"urn:cite:ecod:einsiedeln121img.sbe_0121_153@0.1181,0.2408,0.5135,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_153@0.1151,0.2911,0.5796,0.0773",
"urn:cite:ecod:einsiedeln121img.sbe_0121_153@0.0581,0.3638,0.6517,0.0653",
"urn:cite:ecod:einsiedeln121img.sbe_0121_153@0.1231,0.4186,0.5325,0.0653",
"urn:cite:ecod:einsiedeln121img.sbe_0121_153@0.1241,0.4846,0.5325,0.0653",
"urn:cite:ecod:einsiedeln121img.sbe_0121_153@0.1301,0.5439,0.5536,0.0653",
"urn:cite:ecod:einsiedeln121img.sbe_0121_153@0.1291,0.6122,0.6557,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_153@0.1241,0.6624,0.5776,0.075",
"urn:cite:ecod:einsiedeln121img.sbe_0121_153@0.0561,0.7307,0.5776,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_153@0.1221,0.7884,0.5225,0.0698",
"urn:cite:ecod:einsiedeln121img.sbe_0121_154@0.3574,0.075,0.2372,0.0548",Page 154
"urn:cite:ecod:einsiedeln121img.sbe_0121_154@0.4875,0.1455,0.2983,0.0465",
"urn:cite:ecod:einsiedeln121img.sbe_0121_154@0.2883,0.1305,0.1962,0.144",Large D
"urn:cite:ecod:einsiedeln121img.sbe_0121_154@0.4705,0.1883,0.4274,0.0713",
"urn:cite:ecod:einsiedeln121img.sbe_0121_154@0.3554,0.2581,0.5415,0.0653",
"urn:cite:ecod:einsiedeln121img.sbe_0121_154@0.3554,0.3098,0.5205,0.0608",
"urn:cite:ecod:einsiedeln121img.sbe_0121_154@0.3564,0.3668,0.5205,0.0608",
"urn:cite:ecod:einsiedeln121img.sbe_0121_154@0.3514,0.4284,0.5445,0.0608",
"urn:cite:ecod:einsiedeln121img.sbe_0121_154@0.3564,0.4831,0.5165,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_154@0.3534,0.5634,0.1151,0.0435",
"urn:cite:ecod:einsiedeln121img.sbe_0121_154@0.2773,0.6197,0.6216,0.0563",
"urn:cite:ecod:einsiedeln121img.sbe_0121_154@0.2743,0.6789,0.6016,0.057",
"urn:cite:ecod:einsiedeln121img.sbe_0121_154@0.3544,0.7322,0.4404,0.06",
"urn:cite:ecod:einsiedeln121img.sbe_0121_154@0.2773,0.7727,0.6196,0.0788",
"urn:cite:ecod:einsiedeln121img.sbe_0121_155@0.1171,0.0735,0.5215,0.0653",Page 155
"urn:cite:ecod:einsiedeln121img.sbe_0121_155@0.1181,0.1365,0.4404,0.0653",
"urn:cite:ecod:einsiedeln121img.sbe_0121_155@0.0701,0.1935,0.5986,0.0743",
"urn:cite:ecod:einsiedeln121img.sbe_0121_155@0.1231,0.2491,0.5606,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_155@0.1271,0.3053,0.6547,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_155@0.0541,0.3683,0.6286,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_155@0.1181,0.4254,0.5886,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_155@0.1241,0.4824,0.7037,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_155@0.0601,0.5521,0.6346,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_155@0.1381,0.6137,0.5455,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_155@0.1421,0.6752,0.4865,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_155@0.1351,0.7329,0.5335,0.054",
"urn:cite:ecod:einsiedeln121img.sbe_0121_155@0.1331,0.7854,0.5586,0.0638",
"urn:cite:ecod:einsiedeln121img.sbe_0121_156@0.3584,0.078,0.5255,0.0563",Page 156
"urn:cite:ecod:einsiedeln121img.sbe_0121_156@0.3493,0.1298,0.5896,0.0743",
"urn:cite:ecod:einsiedeln121img.sbe_0121_156@0.2853,0.1913,0.5776,0.0638",
"urn:cite:ecod:einsiedeln121img.sbe_0121_156@0.3493,0.2536,0.6066,0.0668",
