ImageURN, TextURN
"urn:cite:ecod:einsiedeln121img.sbe_0121_401@0.14,0.0705,0.541,0.057", Page 401
"urn:cite:ecod:einsiedeln121img.sbe_0121_401@0.112,0.1275,0.437,0.0683", 
"urn:cite:ecod:einsiedeln121img.sbe_0121_401@0.092,0.1785,0.62,0.084",
"urn:cite:ecod:einsiedeln121img.sbe_0121_401@0.136,0.2416,0.568,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_401@0.137,0.2978,0.583,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_401@0.133,0.3451,0.597,0.0773",
"urn:cite:ecod:einsiedeln121img.sbe_0121_401@0.142,0.4179,0.346,0.0533",
"urn:cite:ecod:einsiedeln121img.sbe_0121_401@0.093,0.4839,0.591,0.0668",
"urn:cite:ecod:einsiedeln121img.sbe_0121_401@0.148,0.5401,0.536,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_401@0.142,0.6032,0.539,0.0578",
"urn:cite:ecod:einsiedeln121img.sbe_0121_401@0.144,0.6624,0.536,0.0608",
"urn:cite:ecod:einsiedeln121img.sbe_0121_401@0.141,0.7202,0.591,0.0653",
"urn:cite:ecod:einsiedeln121img.sbe_0121_401@0.137,0.7727,0.141,0.0735",
"urn:cite:ecod:einsiedeln121img.sbe_0121_402@0.253,0.042,0.627,0.087", Page 402
"urn:cite:ecod:einsiedeln121img.sbe_0121_402@0.352,0.129,0.55,0.0645",
"urn:cite:ecod:einsiedeln121img.sbe_0121_402@0.344,0.1845,0.586,0.0705",
"urn:cite:ecod:einsiedeln121img.sbe_0121_402@0.348,0.2476,0.432,0.057",
"urn:cite:ecod:einsiedeln121img.sbe_0121_402@0.288,0.3053,0.621,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_402@0.336,0.3556,0.576,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_402@0.341,0.4209,0.567,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_402@0.342,0.4876,0.591,0.0638",
"urn:cite:ecod:einsiedeln121img.sbe_0121_402@0.332,0.5454,0.457,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_402@0.276,0.6122,0.609,0.0585",
"urn:cite:ecod:einsiedeln121img.sbe_0121_402@0.325,0.6632,0.587,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_402@0.34,0.7217,0.536,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_402@0.324,0.7862,0.53,0.0653",
"urn:cite:ecod:einsiedeln121img.sbe_0121_403@0.128,0.0548,0.582,0.069", Page 403
"urn:cite:ecod:einsiedeln121img.sbe_0121_403@0.121,0.1275,0.324,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_403@0.08,0.1815,0.622,0.0773",
"urn:cite:ecod:einsiedeln121img.sbe_0121_403@0.132,0.2476,0.54,0.06",
"urn:cite:ecod:einsiedeln121img.sbe_0121_403@0.14,0.3008,0.568,0.0578",
"urn:cite:ecod:einsiedeln121img.sbe_0121_403@0.13,0.3563,0.564,0.0585",
"urn:cite:ecod:einsiedeln121img.sbe_0121_403@0.136,0.4201,0.578,0.06",
"urn:cite:ecod:einsiedeln121img.sbe_0121_403@0.12,0.4824,0.324,0.0608",
"urn:cite:ecod:einsiedeln121img.sbe_0121_403@0.081,0.5521,0.625,0.0585",
"urn:cite:ecod:einsiedeln121img.sbe_0121_403@0.128,0.6099,0.582,0.0525",
"urn:cite:ecod:einsiedeln121img.sbe_0121_403@0.132,0.6624,0.597,0.0623",
"urn:cite:ecod:einsiedeln121img.sbe_0121_403@0.128,0.7172,0.565,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_403@0.12,0.7824,0.584,0.0728",
"urn:cite:ecod:einsiedeln121img.sbe_0121_404@0.352,0.0615,0.316,0.0653", Page 404
"urn:cite:ecod:einsiedeln121img.sbe_0121_404@0.338,0.1328,0.586,0.0593",
"urn:cite:ecod:einsiedeln121img.sbe_0121_404@0.294,0.1815,0.59,0.0735",
"urn:cite:ecod:einsiedeln121img.sbe_0121_404@0.36,0.2401,0.533,0.0638",
"urn:cite:ecod:einsiedeln121img.sbe_0121_404@0.36,0.2986,0.536,0.0645",
"urn:cite:ecod:einsiedeln121img.sbe_0121_404@0.362,0.3578,0.538,0.0713",
"urn:cite:ecod:einsiedeln121img.sbe_0121_404@0.352,0.4119,0.336,0.0743",
"urn:cite:ecod:einsiedeln121img.sbe_0121_404@0.302,0.4831,0.586,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_404@0.341,0.5551,0.591,0.06",
"urn:cite:ecod:einsiedeln121img.sbe_0121_404@0.36,0.6039,0.561,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_404@0.36,0.6752,0.556,0.06",
"urn:cite:ecod:einsiedeln121img.sbe_0121_404@0.354,0.7262,0.378,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_404@0.292,0.7937,0.6,0.0788",
"urn:cite:ecod:einsiedeln121img.sbe_0121_405@0.128,0.0795,0.564,0.0563", Page 405
"urn:cite:ecod:einsiedeln121img.sbe_0121_405@0.129,0.1395,0.575,0.0623",
"urn:cite:ecod:einsiedeln121img.sbe_0121_405@0.128,0.1898,0.576,0.0638",
"urn:cite:ecod:einsiedeln121img.sbe_0121_405@0.124,0.2491,0.578,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_405@0.136,0.2956,0.484,0.0653",
"urn:cite:ecod:einsiedeln121img.sbe_0121_405@0.137,0.3698,0.559,0.0548",
"urn:cite:ecod:einsiedeln121img.sbe_0121_405@0.104,0.4111,0.54,0.078",
"urn:cite:ecod:einsiedeln121img.sbe_0121_405@0.138,0.4846,0.602,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_405@0.138,0.5431,0.555,0.0623",
"urn:cite:ecod:einsiedeln121img.sbe_0121_405@0.14,0.6054,0.564,0.0653",
"urn:cite:ecod:einsiedeln121img.sbe_0121_405@0.076,0.6632,0.652,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_405@0.122,0.7254,0.578,0.0593",
"urn:cite:ecod:einsiedeln121img.sbe_0121_405@0.132,0.7817,0.588,0.06",
"urn:cite:ecod:einsiedeln121img.sbe_0121_406@0.344,0.0638,0.596,0.0743", Page 406
"urn:cite:ecod:einsiedeln121img.sbe_0121_406@0.29,0.1418,0.486,0.0593",
